uuid,kode_identitas,kabkot
e83096de-bb01-470d-8ab3-223f84678ed0,"7201070015000100 - UMKM - 1",7201
d5de26bb-0300-48bb-9d42-fb97c757faaf,"7201070015000100 - UMKM - 2",7201
f83eaab3-ef60-4bd5-9154-8d246d54d0c2,"7201050015000400 - UMKM - 1",7201
ec67794e-a0d4-4a60-987e-0d3b9c3bcafe,"7201061006000300 - UMKM - 1",7201
21182a99-bbdc-448e-a985-b2bfc7cfdd31,"7201061006000400 - UMKM - 1",7201
204fd435-5c39-463c-8e09-1ec0c1ecf807,"7201061006000700 - UMKM - 1",7201
df5ea40e-3f07-40c7-b97e-764e45ce7266,"7201060005000400 - UMKM - 1",7201
1e175f02-f2c1-4052-9177-376dc93d1a41,"7201060005000200 - UMKM - 1",7201
afc5960b-b4ff-4f53-b705-ff8b35e893c6,"7201062011000300 - UMKM - 1",7201
2dbf16fc-a079-435d-a101-27fdac0b9c97,"7201070017000200 - UMKM - 1",7201
1a8bc035-7e6a-4b1f-b1ca-e43b6d80a663,"7201070017000200 - UMKM - 3",7201
041b5d25-be0a-4bb9-82a2-05dc5b8abb33,"7201070017000200 - UMKM - 2",7201
ab9b1005-6aaa-4953-ab8c-503272196e70,"7201070017000400 - UMKM - 1",7201
794b5974-91c5-4896-b3dd-3d33b0f183ea,"7201070017000300 - UMKM - 1",7201
6ed4646f-e4ec-4d46-98cc-1580a7e59c57,"7201040009001100 - UMKM - 1",7201
82a679e0-7309-4e55-9d2a-f6549d76ce3e,"7201040009000700 - UMKM - 1",7201
2034fe67-7669-4f7b-9774-a214329a5569,"7201040009000500 - UMKM - 1",7201
b28e02e8-3c45-42a6-a52a-b501f8f550fe,"7201040009000900 - UMKM - 1",7201
3f715286-08d8-4291-909f-1b362f676961,"7201051004000400 - UMKM - 2",7201
e6946e91-6a0e-4830-a7ca-d14450c7bc40,"7201051004000400 - UMKM - 1",7201
7a141e30-2bc7-4443-a255-876244f45b84,"7201051004000500 - UMKM - 1",7201
3b4553ad-4501-4c89-aa44-4a1023325566,"7201051004000100 - UMKM - 2",7201
a55c3574-3ad6-49ee-936c-e2d02c56a5e9,"7201051004000100 - UMKM - 1",7201
a24b0f93-2ea2-40b6-a98c-5fae012c8158,"7201031002000300 - UMKM - 1",7201
b393eaa2-292c-4b76-ac5c-b9005bae94e4,"7201061001000400 - UMKM - 1",7201
c9315b24-c994-4f74-8e92-8246bc2425cc,"7201062005000500 - UMKM - 1",7201
7dc55471-01b0-459a-b8ee-7ff777d087a7,"7201042003000300 - UMKM - 1",7201
6cbab563-cbd0-47a9-9af8-e563910c6387,"7201042003000400 - UMKM - 1",7201
53156d86-73a9-4d05-b000-8dee200ae0f4,"7201042003001100 - UMKM - 1",7201
3f154551-35ed-4567-8b4e-c5ccce910146,"7201042003000200 - UMKM - 1",7201
5b3b0a30-7b8f-41c3-9ad7-23b64a197dfe,"7201042003001000 - UMKM - 1",7201
7fd9f28f-9a29-4072-b67f-afba78788b91,"7201061009000200 - UMKM - 1",7201
77849fe2-e6a3-40c1-b71d-a4c040d971e3,"7201041002000100 - UMKM - 1",7201
061c7b25-8292-48ad-bd43-cb70b1c6e517,"7201041002000300 - UMKM - 1",7201
09e0b74a-01c4-4afd-a248-2d5462104037,"7201041002000200 - UMKM - 2",7201
f5037d0b-ecff-490b-8643-04eed58d6efc,"7201041002000200 - UMKM - 1",7201
bed8bacd-c596-499b-8a87-1cdc6dc8b181,"7201050009000200 - UMKM - 1",7201
54474c4d-78dd-4b3c-abca-d10084bbb339,"7201050009000400 - UMKM - 1",7201
8fc5d54f-4144-4726-8489-5577588814dd,"7201070018000300 - UMKM - 1",7201
3e888627-580d-4cf6-99ba-3f905545104b,"7201070018200200 - UMKM - 1",7201
a98379ea-c91a-452d-b2b6-370b9ca3e51b,"7201070018000400 - UMKM - 3",7201
f30c081d-20f4-45cc-a722-d96485a22281,"7201070018000400 - UMKM - 2",7201
bd6f39ee-d401-4817-9a75-8d3590eecd05,"7201070018000400 - UMKM - 1",7201
d1ef37e7-526c-4970-8af9-1971be7da1be,"7201050011000201 - UMKM - 1",7201
650594ec-6d64-4545-92fd-ac7cefd48b0a,"7201050011000201 - UMKM - 2",7201
ae5d8f03-16cb-4662-b4b4-8721597504ac,"7201050011000100 - UMKM - 1",7201
4dc68374-7feb-4363-b106-d1c69d04bf92,"7201061014000400 - UMKM - 1",7201
