uuid,kode_identitas,kabkot
fcb8ed4b-4d62-4a99-8cd0-3da8296f48ce,"7201070019000100 - UMK - 2",7201
ff6c3b2f-4916-47e1-a41f-2a3d105d7af3,"7201070019000200 - UMK - 2",7201
87a26aa9-b78b-484f-b335-7b3eb289d5c2,"7201070019000200 - UMK - 3",7201
eb5bc939-2e76-41d9-b11a-eb7be9fed527,"7201040012000100 - UMK - 5",7201
9ad8c26c-3585-4139-a6c8-d4cf99e76b85,"7201040012000100 - UMK - 3",7201
5b462f07-b629-4a53-94cd-1b42a8404fc9,"7201040012000100 - UMK - 7",7201
06106a09-556b-4934-952d-812036116743,"7201040012000100 - UMK - 4",7201
7baa9252-fe7a-4adb-96d7-d28653e42369,"7201040012000100 - UMK - 13",7201
96b66820-266e-46ed-b696-2cbbe7606e14,"7201040012000800 - UMK - 3",7201
b805ad60-1774-4ac8-8a09-f127c5bb510b,"7201040012000200 - UMK - 10",7201
34e270fb-33d7-4ef1-a208-1e57483ce543,"7201040012000200 - UMK - 5",7201
05729425-0a73-48a4-b013-d0f5572113ec,"7201040012000200 - UMK - 12",7201
e5df5df0-c75d-4dcf-8484-2eed9c2948b8,"7201040012000100 - UMK - 18",7201
92b8f8bb-f9bb-47d4-9339-104c8e98d8a5,"7201040012000100 - UMK - 19",7201
eb6ed5ba-414e-471f-afb7-5aba14e3f7fc,"7201040012000200 - UMK - 9",7201
0a2b8944-d7ca-4d64-a590-623ebdad1842,"7201040012000200 - UMK - 13",7201
a5388745-84de-4267-b97d-a675db5097a8,"7201040012000100 - UMK - 14",7201
c47613c3-11b7-421b-aeba-b08a6d4be4c1,"7201040012000100 - UMK - 16",7201
b0c9454d-6585-4f3f-8ca6-379ffae9e15d,"7201040012000100 - UMK - 1",7201
24357d63-e517-4d0a-a6e2-5b95facad76e,"7201040012000100 - UMK - 15",7201
d75325f0-2fd8-4a95-9704-f095950a5aca,"7201040012000200 - UMK - 7",7201
a7cc5692-fee4-43be-9674-42e03ca0b774,"7201040012000200 - UMK - 1",7201
73b207d8-339a-433e-b978-49e0146b895f,"7201040012000200 - UMK - 6",7201
02a75102-0bf8-47a3-9aa2-5d4b64a6c481,"7201040012000200 - UMK - 8",7201
e78ab1b4-11d1-4cfe-95f1-618af1d1c6e8,"7201040012000200 - UMK - 11",7201
f869ba99-7c32-49fc-9551-ea61e8886424,"7201040012000200 - UMK - 3",7201
55d524b0-d6cc-4a5f-aff6-b2fc01c484b2,"7201040012000200 - UMK - 2",7201
3a9809f0-5b6e-4b9f-87dd-4bf95ae4e3d3,"7201040012000200 - UMK - 4",7201
e0aee9c8-5593-4096-8ba6-323ef85cb3a6,"7201040012000700 - UMK - 4",7201
cd917965-8abc-464c-85b0-3db036f4b772,"7201040012000700 - UMK - 2",7201
2ee33596-c183-4919-9526-23a82a459ec4,"7201040012000700 - UMK - 10",7201
cf5e3a8b-f90c-4405-89d9-6f032a3749a3,"7201040012000700 - UMK - 9",7201
fcb93d6b-b029-40a9-bb98-78fdb0b2603b,"7201040012000700 - UMK - 1",7201
1f2c3284-b5e8-401c-be54-b081cde00ff5,"7201040012000700 - UMK - 13",7201
4287c8a3-0ef1-4176-a5ed-7335314d6ae8,"7201040012000700 - UMK - 14",7201
cecfb146-9cd1-4dc2-8e6b-d339bac6d2d2,"7201040012000700 - UMK - 12",7201
4d787c1e-66b4-43ac-9dd1-f18472e6b8a5,"7201040012000700 - UMK - 5",7201
22e22856-0a7a-4a78-964a-427d8a217e3a,"7201040012000700 - UMK - 11",7201
6c707130-e906-4f85-aa09-487081ad6575,"7201040012000700 - UMK - 7",7201
35152ceb-12d6-403d-ad1d-6c3967e9b1e9,"7201040012000700 - UMK - 6",7201
77237e81-f1b5-455b-ac33-714af62f32af,"7201040012000700 - UMK - 8",7201
deb4baf3-3776-42c3-826e-c9671607beec,"7201040012000700 - UMK - 3",7201
4298a0c6-b70a-4b41-8db3-252bcf5c73f7,"7201040012000800 - UMK - 2",7201
5ede68de-f62e-4347-9f7e-ffe0aa506b1c,"7201040012000800 - UMK - 12",7201
412b85a4-e7bb-49d3-98b2-d642cb4f0e05,"7201040012000800 - UMK - 1",7201
281a38bb-fc1f-400d-a815-749b36f79475,"7201040012000800 - UMK - 6",7201
8dcf499c-4614-4184-9ba4-32a8e7bcddfe,"7201040012000800 - UMK - 11",7201
59ef61c5-74ad-429e-bb98-729cd6126047,"7201040012000800 - UMK - 5",7201
6bdf2e77-1f44-49ba-86d4-099901ef40bb,"7201040012000800 - UMK - 14",7201
c7b066e4-0046-48a4-a54a-7857b3f24bf0,"7201040012000800 - UMK - 10",7201
37a8f974-e77a-4e70-a104-849092248e63,"7201040012000800 - UMK - 13",7201
642c4139-edc4-420d-aa57-879d9c0e49b9,"7201040012000800 - UMK - 4",7201
60fc2736-6da2-4d05-804d-5a787633024e,"7201040012000800 - UMK - 8",7201
0661ddb0-585e-45b1-b921-c28c1cdd31c8,"7201040012000800 - UMK - 15",7201
57d3130a-3d9d-48de-84cc-d35fb63e6e70,"7201040012000800 - UMK - 9",7201
7422d149-58bf-4702-a43a-665481dca613,"7201040012000800 - UMK - 7",7201
913edb62-5fb0-4772-9bbd-ce1e7b3c3500,"7201040012000900 - UMK - 10",7201
2f168160-ab34-4804-86dc-98fdbbffc5b2,"7201040012000900 - UMK - 1",7201
e60c514e-3444-49d6-8a72-a19d95afde4d,"7201040012000900 - UMK - 5",7201
21d1e10b-e80b-4505-9b8e-c98fff102266,"7201040012000900 - UMK - 13",7201
93b79caf-0e3d-4403-8587-1f37775e28e9,"7201040012000900 - UMK - 9",7201
c78f3c85-8167-46bb-aa1b-06d52dd8fdaa,"7201040012000900 - UMK - 2",7201
5732cdfb-d035-490e-aacd-b391f0aa90ee,"7201040012000900 - UMK - 11",7201
06a55288-ce14-4c5a-b6ae-ee3feeda516e,"7201040012000900 - UMK - 12",7201
463d24a7-69c4-4384-879c-486b0f4579df,"7201040012000900 - UMK - 8",7201
00f403a1-5a6c-4017-9ca3-2d7645c145d3,"7201040012000900 - UMK - 4",7201
8b8fef30-0e81-4d7c-934e-19b3f421b270,"7201040012000900 - UMK - 6",7201
d2840b6a-549b-4de9-84ee-3c8a05870a73,"7201040012000900 - UMK - 3",7201
3b0fb1d4-5f6c-4f71-b438-cd1eccabe9f6,"7201040012100100 - UMK - 10",7201
748a5d46-3e1a-4d23-9ba2-a23cd80e61bf,"7201040012100100 - UMK - 8",7201
98d3fb1a-102d-4a3d-9278-d0531a972387,"7201040012100100 - UMK - 5",7201
dadad686-f56e-4c74-be7b-8632ad788929,"7201040012100100 - UMK - 7",7201
2746ca2d-3d4f-49bc-b6b2-c7a5774e237d,"7201040012100100 - UMK - 2",7201
5b8b8375-745e-4363-afe9-deae149c2127,"7201040012100100 - UMK - 9",7201
51b27883-4dc6-4b9a-bd56-df48819c7b1d,"7201040012100100 - UMK - 3",7201
21eb71f5-a73d-4a49-9313-e990c6b7cabc,"7201040012100100 - UMK - 6",7201
b42e2afc-a550-4446-898d-f19aab6d31f4,"7201040012100100 - UMK - 1",7201
df0197fc-0415-4fe2-bdba-9502cebae161,"7201040012100100 - UMK - 4",7201
54ee97d1-aba1-4376-832c-961df611b4ae,"7201040012000100 - UMK - 12",7201
a886999b-4807-4057-bbd0-4de031e66103,"7201040012000100 - UMK - 21",7201
9a8b8494-1cb6-46fb-877d-1b897d7185f3,"7201040012000100 - UMK - 10",7201
52a42d22-501e-42a2-94ae-d488583480df,"7201040012000100 - UMK - 23",7201
372efa72-7efe-4b03-899f-a4ba0657f8dd,"7201040012000100 - UMK - 20",7201
45a911c9-9555-4e93-91e4-2317bf045008,"7201040012000100 - UMK - 9",7201
f31de8e8-2309-4903-b634-4f9122788eec,"7201040012000100 - UMK - 11",7201
eba39b53-5896-4e27-9002-76ff8c1c9001,"7201040012000100 - UMK - 24",7201
735707f6-f687-4305-b4a8-e580dc695ba7,"7201040012000100 - UMK - 8",7201
df3a56d6-201c-4a4d-afa7-27b72f6221c4,"7201040012000100 - UMK - 17",7201
60c23904-3d2b-418c-b76f-ac5af754b50c,"7201040012000100 - UMK - 22",7201
13d47e14-4b33-4fbc-8344-1537621de4b9,"7201040012000100 - UMK - 6",7201
44978f38-ebba-4762-9335-f9fe9c6d052d,"7201040012000100 - UMK - 2",7201
fe2751d4-b7bf-4ac8-82a9-5a36f1202175,"7201040012001000 - UMK - 6",7201
d62f1a17-59c6-4cf7-8e88-b63bfceba24c,"7201040012001000 - UMK - 2",7201
8b2c8f55-fc4e-47e2-bd66-715674813afa,"7201040012001000 - UMK - 7",7201
cc2c269c-c87f-4f82-9054-607c89978d26,"7201040012001000 - UMK - 4",7201
5b2182eb-ce7d-4010-bc9a-f5d33a41fc14,"7201040012001000 - UMK - 1",7201
85b268e4-f337-4019-b31a-7a604329d7e2,"7201040012001000 - UMK - 10",7201
8ddcb81c-7e83-4504-ade7-cc4e8f169fca,"7201040012001000 - UMK - 9",7201
4337f783-3d9e-4aec-9213-be61837ee16e,"7201040012001000 - UMK - 11",7201
